x, y, T, Tex,
0.625000, 0.234375, 0.173678, 0.173660,
0.625000, 0.250000, 0.165745, 0.165728,
0.625000, 0.265625, 0.157413, 0.157397,
0.625000, 0.281250, 0.148701, 0.148686,
0.625000, 0.296875, 0.139631, 0.139617,
0.625000, 0.312500, 0.130225, 0.130212,
0.625000, 0.328125, 0.120505, 0.120493,
0.625000, 0.343750, 0.110495, 0.110484,
0.625000, 0.359375, 0.100218, 0.100208,
0.625000, 0.375000, 0.089701, 0.089691,
0.625000, 0.390625, 0.078967, 0.078959,
0.625000, 0.406250, 0.068042, 0.068035,
0.625000, 0.421875, 0.056954, 0.056948,
0.625000, 0.437500, 0.045729, 0.045724,
0.625000, 0.453125, 0.034393, 0.034390,
0.625000, 0.468750, 0.022975, 0.022973,
0.625000, 0.484375, 0.011501, 0.011500,
0.625000, 0.500000, 0.000000, 0.000000,
0.640625, 0.000000, 0.230248, 0.230225,
0.640625, 0.015625, 0.229971, 0.229947,
0.640625, 0.031250, 0.229139, 0.229116,
0.640625, 0.046875, 0.227756, 0.227733,
0.640625, 0.062500, 0.225824, 0.225801,
0.640625, 0.078125, 0.223348, 0.223325,
0.640625, 0.093750, 0.220334, 0.220311,
0.640625, 0.109375, 0.216789, 0.216767,
0.640625, 0.125000, 0.212721, 0.212700,
0.640625, 0.140625, 0.208142, 0.208121,
0.640625, 0.156250, 0.203061, 0.203040,
0.640625, 0.171875, 0.197490, 0.197470,
0.640625, 0.187500, 0.191444, 0.191425,
0.640625, 0.203125, 0.184937, 0.184918,
0.640625, 0.218750, 0.177984, 0.177966,
